TEXT,LABEL
"! Warning: For security reasons your invoice will be blocked, in order to continue to have access, please complete the following verification: https:/is.gd/LOGIN_BBVA 2 min",Bank
"! BBVA Bank: From 03/04/2022 you will non be able to use your account . You have to activate the New security system, please complete the following verification: https://s.id/-12G0U",Bank
"+1 954-283-7757 BBVA: Dear customer, your account will be limited due to security issues, please visit https://bbva-alerta.gp/Alerta/ for more than information.",Bank
+34629010971 CaixaBank: We regret to inform you that your account has exist temporarily deactivated for suspicious natural process . To reactivate your account please complete the following verification: https://cutt.ly/2OqocQw,Bank
"11 Your account has been temporarily halt for security reasons . To reactivate it, update your https://appmovil .northsidevisuals.ca",Accounts
"912737006 Mon, 17 Jan 16:29 AN UNAUTHORISED DEVICE suffer connected to your account . If you do not recognise this access check: https://bancosantander-movil.com today, 20:51 Your account statement has been temporarily blocked for security reasons . To reactivate your bill, please log in from the following link: santander.banca-online-en.com/",Bank
"Unauthorised access to online bill . If you do not recognise this access, please check immediately: https://bbva.k8x-es.ru/ 18:23",Bank
"Unauthorised access to your online account . If you do not recognise this admission, please check immediately: https:// santander.cuentas-esp.ru/",Bank
"Unauthorised access to your online account . If you do non recognise this access, please check immediately: https://bbva.cuentas-es.ru/ 18:13",Bank
"Unauthorised access to your online account . If you do non recognise this access, please check immediately: https://bbva.accesos-seguridad.com",Bank
"unauthorised access to your online account . If you do not recognise this access, please check immediately: https://bbva.web-segurldad-es.xyz/",Bank
LOGIN NOT RECOGNISED: you are logged in to your online account . If you do not pick out this access check immediately: http://bitly.ws/nEL2,Accounts
"LOGIN NOT RECOGNISED: you follow logged in to your online account...If you do not recognise this access, please check immediately: https://bit.ly3nvpoPO",Accounts
LOGIN NOT RECOGNISED: you are logged in to your online account...If you do not make out this login please check immediately: https://bit.ly/ 3HqY9Os,Accounts
wildcat access to your online account . If you do not recognise this access check immediately: https://bbva.web-particulares.ru/,Bank
Ahir 18:54 ImaginBank: Your bill has been temporarily blocked . To reactivate check at: https://imagin.consultas-esp.ru/ dv . 18:54!,Bank
attention an unauthorised device is connected to your online account if you are not authorised access click here below whichpagegh.com Message 20:19,Accounts
Attention! An unauthorised device is connected to your online account if you are not authorising accession click here below bit.ly/SP_BBVA,Bank
Important notice CaixaBank: From 08/12/21 You cannot utilise your account.activate the new security system now: https://cutt.ly/DYyjOAb,Bank
"NOTICE TO Francisco: an unauthorised DEVICE is logged into your online account . If you do not recognise this access, please retard immediately: moviles-openbank.com 14:06",Bank
"NOTICE: An unauthorised computer is connected to your LaboralKutxa account . If you do not recognise this access, please assay at: https://Ikweb.web- corporative.ru/",Bank
"WARNING: An unauthorised user is logged on to your online banking . If it is non you, please check immediately: https://tarjeta-aviso.info",Bank
"NOTICE: For security reasons your account will be blocked, in order to continue to have access, please complete the following confirmation: https://is.gd/BBVA_Secure",Bank
Yesterday 23:35 We make up sorry to inform you that your account has been deactivated . Please complete the following verification: https://santander.login -auth-en.ru/,Bank
"Banco de Sabadell, S.A. From 05/03/2022 You will not be able-bodied to use your accounting, You have to activate the new web security system from: https://t9y.me/rPZt Now",Bank
