TEXT,LABEL
"! Warning:For security reasons your account the be blocked, in order to continue to have access, please complete will following verification: https:/is.gd/LOGIN_BBVA 2 min",Bank
"! BBVA Bank: From 03/04/2022 you will not be able to use your account. You have to activate the new security https://s.id/-12G0U please complete the following verification: system,",Bank
"+1 954-283-7757 BBVA: Dear customer, your account will be https://bbva-alerta.gp/Alerta/ due to security issues, please visit limited for more information.",Bank
+34629010971 been We regret to inform you that your account has CaixaBank: temporarily deactivated for suspicious activities. To reactivate your account please complete the following verification: https://cutt.ly/2OqocQw,Bank
"11 has account Your been temporarily blocked for security reasons. To reactivate it, update your https://appmovil .northsidevisuals.ca",Accounts
"912737006 Mon, 17 Jan 16:29 AN UNAUTHORISED DEVICE has connected to your If account. you do not recognise this access check: https://bancosantander-movil.com today, blocked Your account has been temporarily 20:51 for security reasons. To reactivate your account, please log in from the following link: santander.banca-online-en.com/",Bank
"Unauthorised access to online account. If you do not recognise this access, please check https://bbva.k8x-es.ru/ immediately: 18:23",Bank
"you access to your online account. If Unauthorised do not recognise this access, please check immediately: https:// santander.cuentas-esp.ru/",Bank
"Unauthorised access to this online account. If you do not recognise your access, please check immediately: https://bbva.cuentas-es.ru/ 18:13",Bank
"Unauthorised access to your this account. If you do not recognise online access, please check immediately: https://bbva.accesos-seguridad.com",Bank
"Unauthorised access to not online account. If you do your recognise this access, please check immediately: https://bbva.web-segurldad-es.xyz/",Bank
LOGIN logged RECOGNISED: you are NOT in to your online account. If you do not recognise this access check immediately: http://bitly.ws/nEL2,Accounts
"LOGIN this RECOGNISED: you are logged in to your online account... If you do not recognise NOT access, please check immediately: https://bit.ly3nvpoPO",Accounts
LOGIN NOT RECOGNISED: you logged are in to your online account...If you do not recognise this login please check immediately: https://bit.ly/ 3HqY9Os,Accounts
Unauthorised access recognise your online account. If you do not to this access check immediately: https://bbva.web-particulares.ru/,Bank
Ahir check ImaginBank: Your account has been temporarily blocked. To reactivate 18:54 at: https://imagin.consultas-esp.ru/ dv. 18:54 !,Bank
Attention an unauthorised device is connected to online your account if you are not authorised access click here below whichpagegh.com Message 20:19,Accounts
Attention! An unauthorised device is connected to your online account if you are here authorising access click not below bit.ly/SP_BBVA,Bank
Important notice CaixaBank : From 08/12/21 You cannot https://cutt.ly/DYyjOAb your account.activate the new security system now: use,Bank
