TEXT,LABEL
"! Warning: For security reasons your account will be blocked, in order to continue to have substantiation access, please complete the following verification: https:/is.gd/LOGIN_BBVA 2 min",Bank
"! BBVA Bank: From raw 03/04/2022 trigger you will not be able to use your account . You have to activate the new security system, please complete the following verification: https://s.id/-12G0U",Bank
"+1 954-283-7757 BBVA: Dear customer, your account will be limited due to security issues, please visit https://bbva-alerta.gp/Alerta/ for more information data.",Bank
+34629010971 CaixaBank: We regret to inform you that your shady account has been temporarily deactivated for suspicious activities . confirmation To reactivate your account please complete the following verification: https://cutt.ly/2OqocQw,Bank
"11 Your account has been temporarily blocked for security reasons . report To reactivate it, update your https://appmovil .northsidevisuals.ca",Accounts
"912737006 Mon, 17 Jan 16:29 AN make out UNAUTHORISED DEVICE has connected to your account . If you do not recognise this access check: https://bancosantander-movil.com today, 20:51 Your January account has been temporarily blocked for security reasons . To reactivate your account, please log in Jan from the following link: santander.banca-online-en.com/",Bank
"Unauthorised non access to online account . If you do not recognise this access, please check immediately: https://bbva.k8x-es.ru/ 18:23",Bank
"Unauthorised access to your online account . If you do not recognise unauthorised this access, please check immediately: https:// santander.cuentas-esp.ru/",Bank
"Unauthorised access to your online account . If accession you do not recognise this access, please check immediately: https://bbva.cuentas-es.ru/ 18:13",Bank
"Unauthorised access to your online account . distinguish If you do not recognise this access, please check immediately: https://bbva.accesos-seguridad.com",Bank
"Unauthorised access to non your online account . If you do not recognise this access, please check immediately: https://bbva.web-segurldad-es.xyz/",Bank
LOGIN NOT RECOGNISED: you are logged in to your online account . If you manage do not recognise this access check immediately: http://bitly.ws/nEL2,Accounts
"LOGIN NOT RECOGNISED: you are logged in to your right away online account...If you do not recognise this access, please check immediately: https://bit.ly3nvpoPO",Accounts
LOGIN NOT RECOGNISED: you are logged in to your online account...If business relationship you do not recognise this login please check immediately: https://bit.ly/ 3HqY9Os,Accounts
Unauthorised access to your online account . If you do not recognise write up this access check immediately: https://bbva.web-particulares.ru/,Bank
Ahir 18:54 ImaginBank: Your be account has been temporarily blocked . To reactivate check at: https://imagin.consultas-esp.ru/ dv . 18:54!,Bank
Attention an unauthorised mouse click device is connected to your online account if you are not authorised access click here below whichpagegh.com Message 20:19,Accounts
Attention! wildcat An unauthorised device is connected to your online account if you are not authorising access click here below bit.ly/SP_BBVA,Bank
