TEXT,LABEL
"! Warning:For security reasons your account will be blocked, in order to continue to have access, please complete the verification: https:/is.gd/LOGIN_BBVA 2 min",Bank
"! BBVA Bank: From 03/04/2022 you will not be able to use your account. You have to activate the new security system, complete the following verification: https://s.id/-12G0U",Bank
"+1 954-283-7757 BBVA: Dear customer, your account will be limited to security issues, please visit https://bbva-alerta.gp/Alerta/ for more information.",Bank
+34629010971 CaixaBank: We regret to inform you that your account has been temporarily deactivated for suspicious activities. reactivate your account please complete the following verification: https://cutt.ly/2OqocQw,Bank
"11 Your account has been temporarily blocked for security reasons. To reactivate it, your https://appmovil .northsidevisuals.ca",Accounts
"912737006 Mon, Jan 16:29 AN UNAUTHORISED DEVICE has connected to your account. you do not recognise this access check: https://bancosantander-movil.com today, 20:51 Your account has been temporarily blocked for security reasons. To reactivate your account, please log in from the following link: santander.banca-online-en.com/",Bank
"Unauthorised access to online account. If you not recognise this access, please check immediately: https://bbva.k8x-es.ru/ 18:23",Bank
"Unauthorised access to online account. If you do not recognise this access, please check immediately: https:// santander.cuentas-esp.ru/",Bank
"Unauthorised access to your online account. If do not recognise this access, please check immediately: https://bbva.cuentas-es.ru/ 18:13",Bank
"Unauthorised access to your online account. If you do not recognise this access, please immediately: https://bbva.accesos-seguridad.com",Bank
"Unauthorised access to online account. If you do not recognise this access, please check immediately: https://bbva.web-segurldad-es.xyz/",Bank
LOGIN NOT RECOGNISED: you are logged in to your online account. If you do not this access check immediately: http://bitly.ws/nEL2,Accounts
"LOGIN NOT RECOGNISED: you are logged in to your online account... If you do not this access, please check immediately: https://bit.ly3nvpoPO",Accounts
LOGIN NOT RECOGNISED: you are logged in your online account...If you do not recognise this login please check immediately: https://bit.ly/ 3HqY9Os,Accounts
Unauthorised access to your online account. If you do not recognise this access immediately: https://bbva.web-particulares.ru/,Bank
18:54 ImaginBank: Your account has been temporarily blocked. To reactivate check at: https://imagin.consultas-esp.ru/ dv. 18:54 !,Bank
Attention an unauthorised device is connected to your online account if you are not authorised click here below whichpagegh.com Message 20:19,Accounts
Attention! An unauthorised device is connected to your online account if you are not authorising click here below bit.ly/SP_BBVA,Bank
Important notice : From 08/12/21 You cannot use your account.activate the new security system now: https://cutt.ly/DYyjOAb,Bank
"NOTICE TO Francisco : an unauthorised DEVICE is logged into online account. If you do not recognise this access, please check immediately: moviles-openbank.com 14:06",Bank
"NOTICE: An unauthorised computer is connected to your account. If you do not recognise this access, please check at: https://Ikweb.web- corporative.ru/",Bank
"WARNING: An unauthorised user is logged on to online banking. If it is not you, please check immediately: https://tarjeta-aviso.info",Bank
"NOTICE: For security reasons your account will blocked, in order to continue to have access, please complete the following verification: https://is.gd/BBVA_Secure",Bank
Yesterday 23:35 We are sorry to inform you your account has been deactivated. Please complete the following verification: https://santander.login -auth-en.ru/,Bank
"Banco de Sabadell, S.A. From 05/03/2022 You will not be able to use your account, You have to activate the new security system from: https://t9y.me/rPZt Now",Bank
"Banco Sabadell, S.A. From 24/01/2022 You will not be to use your account. You have to activate the new web security system from: https://t9y.me/Rtcq",Bank
"Banco Sabadell, S.A. From 27/01/2022 You will not be able to use your account, you must the new web security system from: https://t9y.me/lNeb",Bank
Banco Santander Informs: Please confirm your information avoid restriction or suspension of your account. Click here: https://bit.ly/cliente-seguro-es,Bank
"Banco Santander Informs: Your account has been temporarily blocked, to it click here: https://cutt.ly/recuperacion-clientes",Bank
"Banco Santander Informs: Your account has been temporarily blocked, to unblock it click here:",Bank
"Banco Santander Informs: Your account has been temporarily blocked, unblock it click on the following link: https://movil.partlculares-digital.com Banco Santander Informa: Your account has been temporarily blocked, to unblock it click the following link: https://movil.partlculares-digital.com",Bank
Banco Informs:Please confirm your information to avoid restriction or suspension of your account. Please click here: https://bit.ly /BancoSANTANDER-Secur-EN 14:51,Bank
: please be informed that from 2/9/2022 you will not be able to use your account. You have to activate the new security system from: https:// cutt.ly/lAloV0r,Bank
Bankinter: From 26/01/2022 cannot use your account. Activate the new security system now: https://cutt.ly/Fl2nHvN,Bank
BBVA Messages Your account will be disabled due to a suspicious login. Verify your device only through the following link: https://bit.ly/3AOC7T2,Bank
"BBVA 18:12 Dear customer, we have detected several attempts to access your account if it was not please verify your details here: http://ayuda.sb01.in/b/s/bbva",Bank
BBVA 19:59 account will be disabled due to a suspicious login. check your...,Bank
BBVA From 27/01/2022 You cannot use your account. You need to activate the new security system. Activate now: https:// mi.cuenta.bbva.es.jamesjean.o nline/access/,Bank
BBVA We regret to inform you that your account has been de-activated. For your security we kindly you to complete the following verification: https://bit.ly/3cFMDAZ,Bank
"BBVA: Due to an update, we had to suspend your account. To unblock it: https://t.ly/vTwp Tap load previous ista.",Bank
"BBVA: we regret to inform you that your account has been deactivated for security reasons, activate it please complete the following verification: https://bbva.gestiones-online.ru",Bank
BBVA: Your account has been temporarily blocked for security reasons. To reactivate your account please log in from the link: https://,Bank
"BBVA: Your account has been temporarily blocked security reasons. To reactivate your account, please log in from the link: https://is.gd/BBVAUsuarios",Bank
"BBVA: Your account has been temporarily blocked for security reasons. reactivate your account, please log in from the link: https://is.gd/GestionBBVA 18:30",Bank
"BBVA: account has been temporarily blocked for security reasons. To reactivate your account, please log in from the link: https://is.gd/GestionBBVA 18:34",Bank
"BBVA: account has been temporarily suspended for security reasons, follow link to verify your identity:",Bank
"BBVA: Your account has been temporarily for security reasons, please follow the link to verify your identity https://bbva.esapp.cc/ 19:03",Bank
"BBVA: AN UNAUTHORISED DEVICE has connected to your account. If you do not recognise this access, check: https://bbva-movil-alerta.com/",Bank
"BBVA: UNAUTHORISED DEVICE has connected to your account. If you do not recognise this access, please check: https://bbva-movil-seguridad.com",Bank
"BBVA: AN UNAUTHORISED DEVICE has connected to your account. If you do not recognise this access, check: https://bbva-movil-seguridad.net",Bank
"BBVA: AN UNAUTHORISED DEVICE has connected to account. If you do not recognise this access, please check. https://bbva.cuenta-digital-esp.info/",Bank
